Question,Answer
What must a variable begin with?,"A letter, $ or _"
What is a variable?,Container for a piece of data
Are variables case sensitive?,Yes
How do you declare variables?,"using the var keyword - eg. var myName=""Monica"";"
What will an undeclared variable return?,Undefined
Two types of variable scope?,Local and Global
What are the properties of a Local Scope?,"Within a function, only available within function"
What are the properties of Global Scope?,"Outside a function, available to any code outside that function (also within)."
"What is Variable ""Hoisting""?",Variables are hoisted to the top of the function/statement. It is useful because you can refer to variables declared later in the code.
What is best practice regarding variable declarations?,Put variable declarations as close to the top of the scope as possible.
Prototype Based,Each object has a prototype that it inherits properties and abilities from
Dynamic Typing,Dynamic if the type of variable is interpreted at runtime.
First Class Function,Treats functions as first class citizens - you can do with functions everything you can do with other elements.
Multi Paradigm Language,Supports more than one programming paradigm - developers can work with a variety of styles within javascript.
DOM,Document Object model.
What is DOM?,Representation of HTML Page....
What are the two ways to add JS to your site?,Internally and Externally.
How do you add JS To your site internally?,Internally using html <script></script> tag. Best practice to place it before closing body tag .
How do you add JS to your site externally?,Add by externally linking to .js files.
Is JS case sensitive?,Yes
JS Statement,A command that tells the browser what to do.
,
"document.write(""hello world"");",
"var myName=""lorna"";",
Can a statement be grouped into useable blocks called functions?,Yes.
Datatypes,"Numbers, Strings, Boolean, Arrays, Objects."
What are the 2 types of Numbers within Datatypes?,"Integer: Whole Number (-1, 450)"
"Float:Decimal Point (0.1, 12.454)",
What are Strings within Datatypes?,"A line of text: ""frog"", ""a red truck"""
What kind of value does Boolean take?,True or False
What is an Array?,Used to store multiple values in a single variable.
,
"Real [""blue"", ""5"", ""123456""]",
,
Refer to the whole array using its variable name,
Arrays are indexed from 0,
Objects,Custom datatypes with properties and actions
Operators,Used to assign values to variables and perform mathematical operations on them
Math Based Operators,
Comparison Operators,
Example of comparison operators,"var num = ""5""; var numString =""5"","
,
#ERROR!,
,
num ==numString (true),
,
#ERROR!,
,
num===numString(false),
Conditionals,Statements that allow for code to be executed against conditionals
,
"IF, ELSE statements",
Example of Conditional IF Statement,if (This condition is true) {Do this thing}
,
"var Country = ""Australia"";",
"var Hemisphere, var Language;",
,
"if (country = ""England"") {",
"hemisphere = ""northern"";",
"language = ""english"";",
},
Example of Conditional ELSE Statement,Else statements allow us to make an alternative statement if original condition is false
,
if (this condition is true){,
...do this thing,
}else{,
...do this other thing,
},
Loops,Repetitive Conditional statements.
,
"Used to perform a calculation a number of times, or to iterate over a set of variables.",
Three main types of Loops,For: Set Number of Iterations
,
While: Certain conditions are met,
,
Do...While: Certain condition is met,
For Loop Example,Repeats until a specific condition becomes false
While Loop Example,Iterate while the condition is true
,
while (condition) {,
do this thing,
},
Do While Loop,Iterate while the condition is true
,
do {,
... this thing,
} while(condition);,
Function,Re-useable blocks of instructions that can be executed by name.
,
-Perform common tasks,
"-saves time, reduces error",
,
function functionName (data) {,
repeat action here,
return outcome,
},
Function Example,function sayHello(){
"alert (""hello everyone!"");",
},
